Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,PointsPerGame.Core/PointsPerGame.Core.csproj,File,PointsPerGame.Core/PointsPerGame.Core.csproj,,,Microsoft.Bcl.AsyncInterfaces 7.0.0,,,,,"Microsoft.Bcl.AsyncInterfaces, 7.0.0  Recommendation:  Remove Microsoft.Bcl.AsyncInterfaces, and replace with new package Microsoft.Bcl.AsyncInterfaces 10.0.6"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,PointsPerGame.Core/PointsPerGame.Core.csproj,File,PointsPerGame.Core/PointsPerGame.Core.csproj,,,Microsoft.Extensions.DependencyInjection 7.0.0,,,,,"Microsoft.Extensions.DependencyInjection, 7.0.0  Recommendation:  Remove Microsoft.Extensions.DependencyInjection, and replace with new package Microsoft.Extensions.DependencyInjection 10.0.6"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,PointsPerGame.Core/PointsPerGame.Core.csproj,File,PointsPerGame.Core/PointsPerGame.Core.csproj,,,Microsoft.Extensions.DependencyInjection.Abstractions 7.0.0,,,,,"Microsoft.Extensions.DependencyInjection.Abstractions, 7.0.0  Recommendation:  Remove Microsoft.Extensions.DependencyInjection.Abstractions, and replace with new package Microsoft.Extensions.DependencyInjection.Abstractions 10.0.6"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,PointsPerGame.Core/PointsPerGame.Core.csproj,File,PointsPerGame.Core/PointsPerGame.Core.csproj,,,Microsoft.Extensions.Http 7.0.0,,,,,"Microsoft.Extensions.Http, 7.0.0  Recommendation:  Remove Microsoft.Extensions.Http, and replace with new package Microsoft.Extensions.Http 10.0.6"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,PointsPerGame.Core/PointsPerGame.Core.csproj,File,PointsPerGame.Core/PointsPerGame.Core.csproj,,,Microsoft.Extensions.Logging 7.0.0,,,,,"Microsoft.Extensions.Logging, 7.0.0  Recommendation:  Remove Microsoft.Extensions.Logging, and replace with new package Microsoft.Extensions.Logging 10.0.6"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,PointsPerGame.Core/PointsPerGame.Core.csproj,File,PointsPerGame.Core/PointsPerGame.Core.csproj,,,Microsoft.Extensions.Logging.Abstractions 7.0.0,,,,,"Microsoft.Extensions.Logging.Abstractions, 7.0.0  Recommendation:  Remove Microsoft.Extensions.Logging.Abstractions, and replace with new package Microsoft.Extensions.Logging.Abstractions 10.0.6"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,PointsPerGame.Core/PointsPerGame.Core.csproj,File,PointsPerGame.Core/PointsPerGame.Core.csproj,,,Microsoft.Extensions.Options 7.0.0,,,,,"Microsoft.Extensions.Options, 7.0.0  Recommendation:  Remove Microsoft.Extensions.Options, and replace with new package Microsoft.Extensions.Options 10.0.6"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,PointsPerGame.Core/PointsPerGame.Core.csproj,File,PointsPerGame.Core/PointsPerGame.Core.csproj,,,Microsoft.Extensions.Primitives 7.0.0,,,,,"Microsoft.Extensions.Primitives, 7.0.0  Recommendation:  Remove Microsoft.Extensions.Primitives, and replace with new package Microsoft.Extensions.Primitives 10.0.6"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,PointsPerGame.Core/PointsPerGame.Core.csproj,File,PointsPerGame.Core/PointsPerGame.Core.csproj,,,System.Buffers 4.5.1,,,,,"System.Buffers, 4.5.1  Recommendation:  Package functionality included with new framework reference"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,PointsPerGame.Core/PointsPerGame.Core.csproj,File,PointsPerGame.Core/PointsPerGame.Core.csproj,,,System.Configuration.ConfigurationManager 7.0.0,,,,,"System.Configuration.ConfigurationManager, 7.0.0  Recommendation:  Remove System.Configuration.ConfigurationManager, and replace with new package System.Configuration.ConfigurationManager 10.0.6"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,PointsPerGame.Core/PointsPerGame.Core.csproj,File,PointsPerGame.Core/PointsPerGame.Core.csproj,,,System.Diagnostics.DiagnosticSource 7.0.0,,,,,"System.Diagnostics.DiagnosticSource, 7.0.0  Recommendation:  Remove System.Diagnostics.DiagnosticSource, and replace with new package System.Diagnostics.DiagnosticSource 10.0.6"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,PointsPerGame.Core/PointsPerGame.Core.csproj,File,PointsPerGame.Core/PointsPerGame.Core.csproj,,,System.Memory 4.5.5,,,,,"System.Memory, 4.5.5  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,PointsPerGame.Core/PointsPerGame.Core.csproj,File,PointsPerGame.Core/PointsPerGame.Core.csproj,,,System.Numerics.Vectors 4.5.0,,,,,"System.Numerics.Vectors, 4.5.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,PointsPerGame.Core/PointsPerGame.Core.csproj,File,PointsPerGame.Core/PointsPerGame.Core.csproj,,,System.Runtime.Caching 7.0.0,,,,,"System.Runtime.Caching, 7.0.0  Recommendation:  Remove System.Runtime.Caching, and replace with new package System.Runtime.Caching 10.0.6"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,PointsPerGame.Core/PointsPerGame.Core.csproj,File,PointsPerGame.Core/PointsPerGame.Core.csproj,,,System.Runtime.CompilerServices.Unsafe 6.0.0,,,,,"System.Runtime.CompilerServices.Unsafe, 6.0.0  Recommendation:  Remove System.Runtime.CompilerServices.Unsafe, and replace with new package System.Runtime.CompilerServices.Unsafe 6.1.2"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,PointsPerGame.Core/PointsPerGame.Core.csproj,File,PointsPerGame.Core/PointsPerGame.Core.csproj,,,System.Security.AccessControl 6.0.0,,,,,"System.Security.AccessControl, 6.0.0  Recommendation:  Remove System.Security.AccessControl, and replace with new package System.Security.AccessControl 6.0.1"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,PointsPerGame.Core/PointsPerGame.Core.csproj,File,PointsPerGame.Core/PointsPerGame.Core.csproj,,,System.Security.Permissions 7.0.0,,,,,"System.Security.Permissions, 7.0.0  Recommendation:  Remove System.Security.Permissions, and replace with new package System.Security.Permissions 10.0.6"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,PointsPerGame.Core/PointsPerGame.Core.csproj,File,PointsPerGame.Core/PointsPerGame.Core.csproj,,,System.Security.Principal.Windows 5.0.0,,,,,"System.Security.Principal.Windows, 5.0.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,PointsPerGame.Core/PointsPerGame.Core.csproj,File,PointsPerGame.Core/PointsPerGame.Core.csproj,,,System.Threading.Tasks.Extensions 4.5.4,,,,,"System.Threading.Tasks.Extensions, 4.5.4  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,PointsPerGame.Core/PointsPerGame.Core.csproj,File,PointsPerGame.Core/PointsPerGame.Core.csproj,,,System.ValueTuple 4.5.0,,,,,"System.ValueTuple, 4.5.0  Recommendation:  Package functionality included with new framework reference"
Project.0001,Project file needs to be converted to SDK-style,Active,Mandatory,1,PointsPerGame.Core/PointsPerGame.Core.csproj,File,PointsPerGame.Core/PointsPerGame.Core.csproj,,,,,,,,
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,PointsPerGame.Core/PointsPerGame.Core.csproj,File,PointsPerGame.Core/PointsPerGame.Core.csproj,,,,,,,,"Current target framework: .NETFramework,Version=v4.8 Recommended target framework: net10.0"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,PointsPerGame.UnitTests/PointsPerGame.UnitTests.csproj,File,PointsPerGame.UnitTests/PointsPerGame.UnitTests.csproj,,,System.Runtime.CompilerServices.Unsafe 6.0.0,,,,,"System.Runtime.CompilerServices.Unsafe, 6.0.0  Recommendation:  Remove System.Runtime.CompilerServices.Unsafe, and replace with new package System.Runtime.CompilerServices.Unsafe 6.1.2"
